Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
4063d3e632b02a,2a36af34fc3a01,5dc9441078da87,0,0,0.0,0,0,0,72,0,0,0,0.0,1775,solo,94,90,1506,0,0.0,0,0.0,0,0,66.3,3,0,0.2473
baeb10983f5e08,d96c7ac636808a,0dae47f4cd6e85,0,1,28.89,0,0,3,49,0,0,0,0.0,1380,solo,98,95,1548,0,0.0,0,95.14,0,0,1939.0,3,0,0.7732
704466652fb534,1de5fbffd0ac13,7230f6a4729070,0,1,172.8,0,0,1,38,0,1,1,7.18,1804,solo,94,90,1449,0,0.0,0,0.0,0,0,295.6,4,0,0.3978
13aec6fc9c6d9e,1191cc30bfe214,6aa4bba39ecb52,0,2,275.8,0,0,1,12,0,2,1,8.7,1357,solo,97,92,1502,0,0.0,0,0.0,0,0,2359.0,3,0,0.8125
84ebdd5ba1d286,ecdc71505975bf,06c67c84809933,0,0,0.0,0,0,0,83,0,0,0,0.0,1399,solo,94,93,1503,0,0.0,0,0.0,0,0,79.98,3,0,0.1183
6c59be84b9d23e,cf403fb8698f90,426c567e2d5c9e,0,1,122.6,0,0,1,29,0,1,1,103.9,1775,solo,97,89,1519,0,3301.0,0,0.0,0,0,1126.0,4,0,0.625
a2abbfc045771d,8190c46ab01b04,761fb09bb58d0c,0,0,92.56,0,0,0,85,0,0,0,0.0,1950,solo,97,92,1486,0,0.0,0,0.0,0,0,86.56,2,0,0.1042
79cc152318f475,df8e9fa9187dac,5796e7c293e56a,0,0,0.0,0,0,0,50,0,0,0,0.0,1894,solo,97,92,1500,0,859.0,0,0.0,0,0,1086.0,2,0,0.7396
80c32365b82ae7,b039a1fb324042,00775fa92f3622,0,1,28.38,0,0,0,51,0,0,0,0.0,1874,solo,97,96,1487,0,6677.0,0,0.0,0,0,809.9,3,0,0.7708
999f14daba8948,98015da8da9ea9,0a911229c648d3,0,0,341.9,0,0,1,4,0,4,1,29.12,1301,solo,91,90,1513,0,0.0,0,0.0,0,0,280.1,2,0,0.4778
5341634bc42e3a,c2f4e0f9cab14a,a80eefc46de393,0,0,30.77,0,0,0,61,0,0,0,0.0,1907,solo,95,92,1458,0,0.0,0,0.0,0,0,404.5,4,0,0.4468
b42a64c421cdf8,3067dae4c480a9,dd3422c3676962,0,2,266.4,0,2,2,9,0,3,1,204.1,1972,solo,96,91,1497,0,463.1,0,0.0,0,0,2557.0,6,0,0.7895
10d1d2dc19bf22,31dbcfd2379fb9,2ee39bf378f0c1,0,1,100.0,0,0,1,34,0,1,1,10.99,1924,solo,97,97,1495,0,0.0,0,0.0,0,0,169.5,4,0,0.2396
15fc57ef612073,651b88d5937faa,77f1514a294dd3,0,3,100.0,0,1,2,36,0,1,1,17.81,1543,solo,98,96,1490,0,312.3,0,0.0,0,0,704.4,4,0,0.6289
9f3fd4139ab4bd,a0d80d81aee895,8dabaf5de9df74,0,0,0.0,0,0,0,87,0,0,0,0.0,1352,solo,96,91,1543,0,0.0,0,0.0,0,0,9.584,0,0,0.0737
